id_airbnb;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;availability_365
21853;Bright and airy room;83531;Abdel;Latina;Cármenes;4.040.381;-37.413;Private room;31;4;364
23001;Apartmento Arganzuela- Madrid Rio;82175;Jesus;Arganzuela;Legazpi;403.884;-369.511;Entire home/apt;50;15;1
24805;Gran Via Studio Madrid;346366726;A;Centro;Universidad;4.042.183;-370.529;Entire home/apt;92;5;72
26825;Single Room whith private Bathroom;114340;Agustina;Arganzuela;Legazpi;4.038.975;-369.018;Private room;26;2;365
28200;Apartamento Arganzuela Planetario;82175;Jesus;Arganzuela;Legazpi;403.886;-369.492;Entire home/apt;85;1;365
30320;Great _Vacational _Apartments;130907;Dana;Centro;Sol;4.041.476;-370.418;Entire home/apt;65;5;351
30959;Beautiful loft in Madrid Center;132883;Angela;Centro;Embajadores;4.041.259;-370.105;Entire home/apt;54;3;0
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435;Luis;Centro;Justicia;4.041.969;-369.736;Entire home/apt;79;3;302
40916;Holiday Apartment Madrid Center;130907;Dana;Centro;Universidad;4.042.247;-370.577;Entire home/apt;90;5;346
59923;Habitación para féminas en el centro de Madrid;288380;;Centro;Palacio;4.042.103;-371.038;Private room;;1;365
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845;Arturo;Centro;Justicia;4.041.884;-369.655;Private room;24;1;357
64131;Habitación Metro Lacoma;313365;Gina;Fuencarral - El Pardo;Peñagrande;4.048.543;-372.318;Private room;21;2;364
70059;Tu hogar en centro de Madrid.;353616;Diana;Centro;Universidad;4.042.381;-371.038;Entire home/apt;51;5;38
70316;Superbly located Monthly rental Bills Incl.;353738;Raquel;Centro;Palacio;4.042.191;-371.038;Entire home/apt;75;28;348
72150;Sunny attic duplex flat with terrace next to Sol;364585;Vin;Centro;Embajadores;404.115;-370.449;Entire home/apt;139;2;180
74352;Cozy apartment in the coolest  neighbourhood;391014;Juan;Centro;Embajadores;4.040.864;-370.884;Entire home/apt;80;8;288
75609;Estudio_Museo_Dino;401552;Mercedes;Centro;Embajadores;4.040.892;-369.697;Entire home/apt;63;3;46
84719;Cool Apart. (10min Center + WIFI);259229;Felipe;Centro;Embajadores;4.040.866;-370.374;Entire home/apt;46;2;37
86042;Cozy attic with intimate rooftop terrace+ elevator;364585;Vin;Centro;Embajadores;4.040.939;-369.812;Entire home/apt;125;2;179
89954;Amazing apt in the historic center;487095;Beatriz;Centro;Palacio;4.041.358;-371.353;Entire home/apt;114;2;365
92920;Bedroom in Chueca Madrid;495849;Raul;Centro;Justicia;4.042.491;-369.552;Private room;70;2;363
93100;*** MALASAÑA B&B ***;499977;Charo;Centro;Universidad;4.042.378;-370.248;Private room;45;1;289
101507;NICE FLAT IN THE CENTER OF MADRID;5795235;Elise;Centro;Embajadores;4.040.786;-370.223;Entire home/apt;50;3;31
102040;Nice Single Room with wifi.;533936;Carlos Alberto;Ciudad Lineal;Pueblo Nuevo;4.043.422;-364.196;Private room;19;3;89
102194;Chic apartment CHUECA totally soundproofed;534515;Guillermo;Centro;Justicia;4.042.318;-369.748;Entire home/apt;96;2;226
103541;CENTRAL AND COMFORT APTO. W/PARKING;361930;Maria;Chamberí;Almagro;4.043.815;-369.764;Entire home/apt;70;2;313
114854;NICE CENTRAL TOURISM-BUSINESS APTO;361930;Maria;Chamberí;Rios Rosas;404.382;-369.389;Entire home/apt;70;2;320
119389;Madrid Apartment Latina;378073;Alvaro;Centro;Embajadores;4.040.919;-370.908;Entire home/apt;105;3;233
120293;ROOM IN THE CENTER -LA LATINA- WIFI;605612;Ulises;Centro;Palacio;4.041.143;-370.912;Private room;20;1;45
120762;SHINY ROOM in DOWNTOWN / MALASAÑA!!;606925;Noelia;Centro;Universidad;4.042.231;-370.482;Private room;32;1;262
123864;LOVELY STUDIO IN OLD TOWN-A/C-WIFI;605612;Ulises;Centro;Embajadores;4.041.001;-370.704;Entire home/apt;44;1;83
127819;140 m2 Architect flat - Madrid center;632589;Janasor;Centro;Cortes;404.141;-370.289;Entire home/apt;148;1;343
132428;Habitacion en Anton Martin;650803;Jose Luis;Centro;Embajadores;4.041.012;-369.709;Private room;30;3;1
154224;NICE FLAT SANTA ANA.45m2 WIFI (A);740087;Jesus&Sonia;Centro;Cortes;4.041.392;-370.049;Entire home/apt;69;3;341
163429;Centrical loft in Madrid (Chamberi);780107;;Chamberí;Trafalgar;4.043.765;-370.408;Entire home/apt;65;90;1
167183;private house B & B. Arturo Soria (Metro);796746;Consuelo;Hortaleza;Piovera;4.045.575;-364.912;Private room;45;1;363
170750;2-bedroom attic & rooftop terrace;814490;Rafael;Centro;Universidad;4.042.386;-370.489;Entire home/apt;91;25;340
171144;Penthouse in PALACIO with 2 ROOMS;816497;Isabel;Centro;Palacio;4.041.678;-371.156;Entire home/apt;120;3;1
196197;Views of San Andres Baroque from a Central Madrid Apartment;852616;Meyling;Centro;Palacio;4.041.235;-370.967;Entire home/apt;55;2;269
199016;Room in central top floor with 2 terraces;967721;Santi;Centro;Universidad;404.257;-370.383;Private room;28;2;364
201033;Shiny Room in Malasaña II/Center;606925;Noelia;Centro;Universidad;404.221;-370.685;Private room;40;1;1
204570;Lovely 110m2 home - Best location!;1004721;Alex;Centro;Cortes;404.152;-369.668;Entire home/apt;80;5;150
205199;Tafari Gran Via;1008659;Nuria;Centro;Universidad;4.042.116;-370.384;Entire home/apt;85;3;365
207275;Bedroom with views;124972;Luisa;Moncloa - Aravaca;Casa de Campo;4.042.829;-372.119;Private room;50;10;365
209373;Attic in the Heart of Madrid-WIFI;1031664;José;Centro;Embajadores;4.041.126;-370.347;Private room;30;7;277
209780;The Mad B&B - Cool 3BD with Wifi & AC;669927;Diana;Carabanchel;Abrantes;4.037.935;-373.162;Entire home/apt;94;2;0
211444;Private Room in a Sunny and Luxuriously Appointed Apartment;1090760;Jon;Hortaleza;Canillas;4.045.959;-364.699;Private room;55;2;365
217674;PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY;1732442;Anouk;Centro;Sol;4.041.538;-370.741;Entire home/apt;101;3;316
219303;*** Malasaña B&B exterior***;499977;Charo;Centro;Universidad;4.042.377;-370.241;Private room;19;1;364
225462;Bright silent room in the center;1174648;Rebeca;Centro;Cortes;4.041.366;-369.788;Private room;30;2;338
225489;Madrid City Center. Room for 1 or 2 people.;1172225;Eva;Chamberí;Arapiles;4.043.595;-370.706;Private room;25;25;0
229664;Beautiful cozy loft madrid center;1130651;Sergio;Centro;Embajadores;404.078;-370.085;Entire home/apt;43;2;289
231861;COMFORTABLE ROOM IN A GREAT AREA!!!;1212528;Silvia;Chamberí;Trafalgar;4.043.699;-370.037;Private room;61;1;0
240128;CHEAP  ROOM ONLY GIRLS OR COUPLES;630482;Raquel;Carabanchel;Opañel;403.924;-372.344;Private room;25;5;364
256004;CASA ARCO CUCHILLEROS-BOTIN;1732442;Anouk;Centro;Sol;4.041.428;-370.767;Entire home/apt;80;3;365
260656;Quiet duplex apartment in Lavapiés;1367452;Javier;Centro;Embajadores;4.040.743;-370.114;Entire home/apt;88;7;362
261878;GREAT STUDIO! BEST REVIEWS! CENTRAL;1373873;Al;Centro;Universidad;4.042.269;-370.378;Entire home/apt;67;3;151
268275;Madrid center with balconies;1406073;Jose Antonio;Centro;Embajadores;4.041.194;-370.339;Entire home/apt;79;2;104
280733;Stylish apartment you will love with balconies;596469;Gabriel Avalos;Centro;Universidad;4.042.457;-370.802;Entire home/apt;110;5;184
281224;Central & Comfy Apartment in Opera - Royal Palace;1466005;Pe;Centro;Palacio;4.041.685;-370.882;Entire home/apt;68;2;163
282195;Winter Offer 40m2 Wifi. Centre O;740087;Jesus&Sonia;Centro;Cortes;4.041.391;-37.005;Entire home/apt;71;3;340
287660;Beatiful downtown room with balcony;1496188;Juanpe;Centro;Universidad;4.042.683;-371.108;Private room;30;1;0
289555;Casa Museo del Prado-Private room.;901218;Myrko;Centro;Cortes;4.041.758;-369.631;Private room;26;1;308
294520;Centro de Madrid Gran Habitación;1522694;Isdel Pablo;Centro;Justicia;4.042.226;-369.959;Private room;50;2;0
294529;Centro de Madrid. Room 3;1522694;Isdel Pablo;Centro;Justicia;4.042.226;-369.959;Private room;37;4;365
297017;Charming Prado Luxury;4677030;Jaime;Centro;Cortes;4.041.414;-369.419;Entire home/apt;89;3;344
310678;Precioso apartamento en Gran Via;1598163;Soledad;Centro;Universidad;4.042.163;-370.785;Entire home/apt;68;3;263
315682;QUIET and SPACIOUS .Heart of Malasaña.Madrid.;1095831;Rosalind  & Tino;Centro;Universidad;4.042.365;-370.379;Entire home/apt;172;3;0
336672;Great apartment ∞4 rooms∞ close to City Center;1716726;Jesús;Arganzuela;Delicias;4.039.516;-369.309;Entire home/apt;106;2;90
336834;2 bedroom apartament in Chueca-Fuen;1713427;Helena;Centro;Justicia;4.042.242;-369.562;Entire home/apt;65;5;1
